n,k,risk,CG23,U
1.520000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.678691339645756259e-02,1.018627654365166918e-01
1.530000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.642498872604814752e-02,1.018627654365166918e-01
1.540000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.606764721752838243e-02,1.018627654365166918e-01
1.550000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.571480238068632351e-02,1.018627654365166918e-01
1.560000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.536636988746636984e-02,1.018627654365166918e-01
1.570000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.502226750483977386e-02,1.018627654365166918e-01
1.580000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.468241503016027516e-02,1.018627654365166918e-01
1.590000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.434673422889816502e-02,1.018627654365166918e-01
1.600000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.401514877465127956e-02,1.018627654365166918e-01
1.610000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.368758419133626281e-02,1.018627654365166918e-01
1.620000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.336396779746852698e-02,1.018627654365166918e-01
1.630000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.304422865244323715e-02,1.018627654365166918e-01
1.640000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.272829750473392169e-02,1.018627654365166918e-01
1.650000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.241610674192950098e-02,1.018627654365166918e-01
1.660000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.210759034253397565e-02,1.018627654365166918e-01
1.670000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.180268382945674849e-02,1.018627654365166918e-01
1.680000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.150132422512454511e-02,1.018627654365166918e-01
1.690000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.120345000815008235e-02,1.018627654365166918e-01
1.700000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.090900107149371606e-02,1.018627654365166918e-01
1.710000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.061791868205951089e-02,1.018627654365166918e-01
1.720000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.033014544166811849e-02,1.018627654365166918e-01
1.730000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,5.004562524935221579e-02,1.018627654365166918e-01
1.740000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.976430326492239237e-02,1.018627654365166918e-01
1.750000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.948612587375397082e-02,8.884340963149352233e-02
1.760000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.921104065274727046e-02,8.884340963149352233e-02
1.770000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.893899633741593397e-02,8.884340963149352233e-02
1.780000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.866994279005983776e-02,8.884340963149352233e-02
1.790000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.840383096898137616e-02,8.884340963149352233e-02
1.800000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.814061289870529003e-02,8.884340963149352233e-02
