replicate,method,n,k,risk,nominal_cost,anytime_U
43,Posthoc,763,2,0.002419505666717167,1.4468681060937938,0.022502838459799477
44,Anytime,362,2,0.009185834558625698,1.5980796290517825,0.04470779190771206
44,Per_time,466,2,0.0017913431649087997,1.6799236662522137,0.03895234603569855
44,GCC_T1,190,2,0.010407510431903596,1.6375164230909376,0.08884340963149352
44,GCC_T4,162,2,0.010407510431903596,1.6375164230909376,0.10186276543651669
44,Fixed_N,93,2,0.010407510431903596,1.6375164230909376,0.174982676092472
44,Posthoc,367,2,0.006819510584238232,1.5029906800557333,0.04470779190771206
45,Anytime,271,1,0.004438596225751125,1.569071009176311,0.04878717610342121
45,Per_time,466,2,0.0035885305822691738,1.80418442907427,0.03895234603569855
45,GCC_T1,190,2,0.010658946758451877,1.6158715092318219,0.08884340963149352
45,GCC_T4,162,2,0.0221611929477396,1.356500186120169,0.10186276543651669
45,Fixed_N,93,2,0.03361399479648779,1.2669741658624822,0.174982676092472
45,Posthoc,661,2,0.00038024478862229715,1.5510870711350826,0.02579464148538289
46,Anytime,325,1,0.0015389574940929294,1.4447828874358637,0.04140489820784634
46,Per_time,402,1,0.0015389574940929294,1.4447828874358637,0.035075444436606075
46,GCC_T1,146,1,0.002890102969203752,1.6187914265588956,0.09435851123028417
46,GCC_T4,132,1,0.002890102969203752,1.6187914265588956,0.11122389675566964
46,Fixed_N,93,1,0.002890102969203752,1.6187914265588956,0.15392988417795642
46,Posthoc,325,1,0.0015389574940929294,1.4447828874358637,0.04140489820784634
47,Anytime,362,2,0.005899839711002064,1.5240921260467126,0.04470779190771206
47,Per_time,466,2,0.003753461785128715,1.7193072807101526,0.03895234603569855
47,GCC_T1,190,2,0.023113263865248892,1.7236930826821424,0.08884340963149352
47,GCC_T4,162,2,0.023113263865248892,1.7236930826821424,0.10186276543651669
47,Fixed_N,93,2,0.028980418682370553,1.6295409625339123,0.174982676092472
47,Posthoc,362,2,0.005899839711002064,1.5240921260467126,0.04470779190771206
48,Anytime,362,2,0.0032891410927021287,1.4305574772569771,0.04470779190771206
48,Per_time,466,2,0.00295801511504408,1.4398088057349308,0.03895234603569855
48,GCC_T1,190,2,0.015021955741056624,1.6348564541812514,0.08884340963149352
48,GCC_T4,162,2,0.015021955741056624,1.6348564541812514,0.10186276543651669
48,Fixed_N,93,2,0.02961456155236683,1.4320500792750233,0.174982676092472
48,Posthoc,362,2,0.0032891410927021287,1.4305574772569771,0.04470779190771206
49,Anytime,271,1,0.012235340920493672,1.4186934223372165,0.04878717610342121
49,Per_time,466,2,0.009737751850188112,2.051438938789048,0.03895234603569855
49,GCC_T1,146,1,0.012235340920493672,1.4186934223372165,0.09435851123028417
49,GCC_T4,132,1,0.012235340920493672,1.4186934223372165,0.11122389675566964
49,Fixed_N,93,1,0.012235340920493672,1.4186934223372165,0.15392988417795642
49,Posthoc,271,1,0.012235340920493672,1.4186934223372165,0.04878717610342121
50,Anytime,362,2,0.002930397653208779,1.7679408506062635,0.04470779190771206
50,Per_time,466,2,0.002930397653208779,1.7679408506062635,0.03895234603569855
50,GCC_T1,190,2,0.002579001680507972,1.5481109818527896,0.08884340963149352
50,GCC_T4,162,2,0.002579001680507972,1.5481109818527896,0.10186276543651669
50,Fixed_N,93,2,0.0076829621650737765,1.7086906519097533,0.174982676092472
50,Posthoc,597,2,0.0024881169814637153,1.7408055256178896,0.02959763815910193
51,Anytime,362,2,0.003476266429668781,1.682160086558766,0.04470779190771206
51,Per_time,466,2,0.003476266429668781,1.682160086558766,0.03895234603569855
51,GCC_T1,190,2,0.005797284305970428,1.8052692151091634,0.08884340963149352
51,GCC_T4,162,2,0.005797284305970428,1.8052692151091634,0.10186276543651669
51,Fixed_N,93,1,0.014199885869922579,2.14197022326581,0.15392988417795642
51,Posthoc,721,2,0.0020420048716550472,1.5504971109073897,0.02579464148538289
52,Anytime,362,2,0.005287697954101692,1.417591733827051,0.04470779190771206
52,Per_time,466,2,0.005287697954101692,1.417591733827051,0.03895234603569855
52,GCC_T1,190,2,0.005287697954101692,1.417591733827051,0.08884340963149352
52,GCC_T4,162,2,0.014810289874420821,1.8368176536857326,0.10186276543651669
52,Fixed_N,93,2,0.018977783145901903,1.7331405351517681,0.174982676092472
52,Posthoc,362,2,0.005287697954101692,1.417591733827051,0.04470779190771206
53,Anytime,362,2,0.008830863006112476,1.5788040483792047,0.04470779190771206
