n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box,finite_hull,finite_box
4624.0,24.0,0.005722602821582878,0.014783254532328547,0.017256230697993792,4.0,0.00041583969524316977,0.005012056226844762,0.012761517700082076,0.005366705357536543
4625.0,24.0,0.005722602821582878,0.014783254532328547,0.017252654289321722,4.0,0.00041583969524316977,0.005012056226844762,0.012758769073972871,0.005365547712374684
4626.0,24.0,0.005722602821582878,0.014783254532328547,0.017249078948430457,4.0,0.00041583969524316977,0.005012056226844762,0.012756021631617168,0.005364390566532381
4627.0,24.0,0.005722602821582878,0.014783254532328547,0.017245505433593922,4.0,0.00041583969524316977,0.005012056226844762,0.01275327537225042,0.005363233919686644
4628.0,24.0,0.005722602821582878,0.014783254532328547,0.01724193374328818,4.0,0.00041583969524316977,0.005012056226844762,0.012750530295108739,0.005362077771514776
4629.0,24.0,0.005722602821582878,0.014783254532328547,0.017238362944437677,4.0,0.00041583969524316977,0.005012056226844762,0.012747786399428912,0.005360922121694352
4630.0,24.0,0.005722602821582878,0.014783254532328547,0.017234793796982582,4.0,0.00041583969524316977,0.005012056226844762,0.012745043684448364,0.005359766969903219
4631.0,24.0,0.005722602821582878,0.014783254532328547,0.01723122647073539,4.0,0.00041583969524316977,0.005012056226844762,0.012742302149405185,0.005358612315819511
4632.0,24.0,0.005722602821582878,0.014783254532328547,0.017227660550102285,4.0,0.00041583969524316977,0.005012056226844762,0.012739561793538105,0.005357458159121638
4633.0,24.0,0.005722602821582878,0.014783254532328547,0.017224095761937917,4.0,0.00041583969524316977,0.005012056226844762,0.012736822616086546,0.005356304499488278
4634.0,24.0,0.005722602821582878,0.014783254532328547,0.017220532791666767,4.0,0.00041583969524316977,0.005012056226844762,0.012734084616290551,0.005355151336598396
4635.0,24.0,0.005722602821582878,0.014783254532328547,0.01721697163777415,4.0,0.00041583969524316977,0.005012056226844762,0.012731347793390822,0.005353998670131229
4636.0,24.0,0.005722602821582878,0.014783254532328547,0.017213411302305973,4.0,0.00041583969524316977,0.005012056226844762,0.012728612146628716,0.005352846499766292
4637.0,24.0,0.005722602821582878,0.014783254532328547,0.01720985267994871,4.0,0.00041583969524316977,0.005012056226844762,0.012725877675246258,0.005351694825183374
4638.0,24.0,0.005722602821582878,0.014783254532328547,0.017206295870666657,4.0,0.00041583969524316977,0.005012056226844762,0.012723144378486092,0.005350543646062538
4639.0,24.0,0.005722602821582878,0.014783254532328547,0.017202740392000326,4.0,0.00041583969524316977,0.005012056226844762,0.012720412255591536,0.005349392962084126
4640.0,24.0,0.005722602821582878,0.014783254532328547,0.017199186109514385,4.0,0.00041583969524316977,0.005012056226844762,0.012717681305806553,0.005348242772928751
4641.0,24.0,0.005722602821582878,0.014783254532328547,0.01719563363680886,4.0,0.00041583969524316977,0.005012056226844762,0.01271495152837575,0.005347093078277305
4642.0,24.0,0.005722602821582878,0.014783254532328547,0.017192082972378037,4.0,0.00041583969524316977,0.005012056226844762,0.012712222922544395,0.005345943877810954
4643.0,24.0,0.005722602821582878,0.014783254532328547,0.017188533054364515,4.0,0.00041583969524316977,0.005012056226844762,0.012709495487558385,0.005344795171211129
4644.0,24.0,0.005722602821582878,0.014783254532328547,0.01718498491022114,4.0,0.00041583969524316977,0.005012056226844762,0.01270676922266428,0.0053436469581595505
4645.0,24.0,0.005722602821582878,0.014783254532328547,0.017181438571069282,4.0,0.00041583969524316977,0.005012056226844762,0.01270404412710928,0.0053424992383381996
4646.0,24.0,0.005722602821582878,0.014783254532328547,0.017177893488566683,4.0,0.00041583969524316977,0.005012056226844762,0.012701320200141229,0.005341352011429331
4647.0,24.0,0.005722602821582878,0.014783254532328547,0.017174349664991085,4.0,0.00041583969524316977,0.005012056226844762,0.01269859744100862,0.005340205277115485
4648.0,24.0,0.005722602821582878,0.014783254532328547,0.017170807643131707,4.0,0.00041583969524316977,0.005012056226844762,0.012695875848960583,0.005339059035079459
4649.0,24.0,0.005722602821582878,0.014783254532328547,0.017167267386255593,4.0,0.00041583969524316977,0.005012056226844762,0.012693155423246899,0.005337913285004328
4650.0,24.0,0.005722602821582878,0.014783254532328547,0.017163727875272882,4.0,0.00041583969524316977,0.005012056226844762,0.012690436163117987,0.005336768026573446
4651.0,24.0,0.005722602821582878,0.014783254532328547,0.017160190162739283,4.0,0.00041583969524316977,0.005012056226844762,0.012687718067824923,0.005335623259470431
4652.0,24.0,0.005722602821582878,0.014783254532328547,0.017156654247161233,4.0,0.00041583969524316977,0.005012056226844762,0.012685001136619396,0.005334478983379171
4653.0,24.0,0.005722602821582878,0.014783254532328547,0.017153119515287345,4.0,0.00041583969524316977,0.005012056226844762,0.01268228536875376,0.0053333351979838305
4654.0,24.0,0.005722602821582878,0.014783254532328547,0.017149586104132374,4.0,0.00041583969524316977,0.005012056226844762,0.012679570763481005,0.005332191902968843
4655.0,24.0,0.005722602821582878,0.014783254532328547,0.017146054486677467,4.0,0.00041583969524316977,0.005012056226844762,0.012676857320054748,0.005331049098018913
4656.0,24.0,0.005722602821582878,0.014783254532328547,0.01714252455932121,4.0,0.00041583969524316977,0.005012056226844762,0.012674145037729252,0.005329906782819012
4657.0,24.0,0.005722602821582878,0.014783254532328547,0.017138995441617653,4.0,0.00041583969524316977,0.005012056226844762,0.012671433915759433,0.005328764957054385
4658.0,24.0,0.005722602821582878,0.014783254532328547,0.017135468114366347,4.0,0.00041583969524316977,0.005012056226844762,0.01266872395340082,0.005327623620410546
4659.0,24.0,0.005722602821582878,0.014783254532328547,0.01713194257608301,4.0,0.00041583969524316977,0.005012056226844762,0.01266601514990959,0.0053264827725732775
4660.0,24.0,0.005722602821582878,0.014783254532328547,0.017128418149567917,4.0,0.00041583969524316977,0.005012056226844762,0.012663307504542552,0.005325342413228632
4661.0,24.0,0.005722602821582878,0.014783254532328547,0.017124895104620372,4.0,0.00041583969524316977,0.005012056226844762,0.012660601016557159,0.005324202542062933
4662.0,24.0,0.005722602821582878,0.014783254532328547,0.017121373845404225,4.0,0.00041583969524316977,0.005012056226844762,0.012657895685211503,0.0053230631587627645
4663.0,24.0,0.005722602821582878,0.014783254532328547,0.017117854202421103,4.0,0.00041583969524316977,0.005012056226844762,0.012655191509764277,0.005321924263014987
4664.0,24.0,0.005722602821582878,0.014783254532328547,0.01711433543189714,4.0,0.00041583969524316977,0.005012056226844762,0.012652488489474846,0.005320785854506725
4665.0,24.0,0.005722602821582878,0.014783254532328547,0.01711081844387605,4.0,0.00041583969524316977,0.005012056226844762,0.012649786623603193,0.005319647932925372
4666.0,24.0,0.005722602821582878,0.014783254532328547,0.017107303236882556,4.0,0.00041583969524316977,0.005012056226844762,0.012647085911409933,0.005318510497958589
4667.0,24.0,0.005722602821582878,0.014783254532328547,0.017103789070720115,4.0,0.00041583969524316977,0.005012056226844762,0.012644386352156308,0.005317373549294304
4668.0,24.0,0.005722602821582878,0.014783254532328547,0.017100276346041055,4.0,0.00041583969524316977,0.005012056226844762,0.012641687945104185,0.005316237086620712
4669.0,24.0,0.005722602821582878,0.014783254532328547,0.01709676539917226,4.0,0.00041583969524316977,0.005012056226844762,0.012638990689516088,0.005315101109626269
4670.0,24.0,0.005722602821582878,0.014783254532328547,0.017093255995678226,4.0,0.00041583969524316977,0.005012056226844762,0.012636294584655138,0.00531396561799971
4671.0,24.0,0.005722602821582878,0.014783254532328547,0.017089747526507357,4.0,0.00041583969524316977,0.005012056226844762,0.0126335996297851,0.00531283061143002
4672.0,24.0,0.005722602821582878,0.014783254532328547,0.01708624083193741,4.0,0.00041583969524316977,0.005012056226844762,0.01263090582417037,0.005311696089606463
4673.0,24.0,0.005722602821582878,0.014783254532328547,0.01708273591050197,4.0,0.00041583969524316977,0.005012056226844762,0.01262821316707598,0.0053105620522185615
4674.0,24.0,0.005722602821582878,0.014783254532328547,0.01707923195994805,4.0,0.00041583969524316977,0.005012056226844762,0.012625521657767553,0.005309428498956106
4675.0,24.0,0.005722602821582878,0.014783254532328547,0.01707572950987053,4.0,0.00041583969524316977,0.005012056226844762,0.012622831295511372,0.005308295429509146
4676.0,24.0,0.005722602821582878,0.014783254532328547,0.01707222882972925,4.0,0.00041583969524316977,0.005012056226844762,0.012620142079574329,0.005307162843568005
4677.0,24.0,0.005722602821582878,0.014783254532328547,0.01706872962110099,4.0,0.00041583969524316977,0.005012056226844762,0.012617454009223953,0.005306030740823264
4678.0,24.0,0.005722602821582878,0.014783254532328547,0.017065231407728514,4.0,0.00041583969524316977,0.005012056226844762,0.01261476708372838,0.005304899120965769
4679.0,24.0,0.005722602821582878,0.014783254532328547,0.01706173496110182,4.0,0.00041583969524316977,0.005012056226844762,0.012612081302356385,0.00530376798368663
4680.0,24.0,0.005722602821582878,0.014783254532328547,0.017058240279763402,4.0,0.00041583969524316977,0.005012056226844762,0.01260939666437737,0.005302637328677221
4681.0,24.0,0.005722602821582878,0.014783254532328547,0.017054746500333114,4.0,0.00041583969524316977,0.005012056226844762,0.012606713169061316,0.005301507155629182
4682.0,24.0,0.005722602821582878,0.014783254532328547,0.017051254279460668,4.0,0.00041583969524316977,0.005012056226844762,0.01260403081567889,0.005300377464234409
4683.0,24.0,0.005722602821582878,0.014783254532328547,0.017047763820697066,4.0,0.00041583969524316977,0.005012056226844762,0.012601349603501323,0.005299248254185063
4684.0,24.0,0.005722602821582878,0.014783254532328547,0.01704427476257037,4.0,0.00041583969524316977,0.005012056226844762,0.01259866953180051,0.005298119525173572
4685.0,24.0,0.005722602821582878,0.014783254532328547,0.017040786759710744,4.0,0.00041583969524316977,0.005012056226844762,0.01259599059984893,0.005296991276892622
4686.0,24.0,0.005722602821582878,0.014783254532328547,0.017037300515788393,4.0,0.00041583969524316977,0.005012056226844762,0.012593312806919702,0.005295863509035159
4687.0,24.0,0.005722602821582878,0.014783254532328547,0.017033816029354408,4.0,0.00041583969524316977,0.005012056226844762,0.012590636152286562,0.005294736221294397
4688.0,24.0,0.005722602821582878,0.014783254532328547,0.01703033237682117,4.0,0.00041583969524316977,0.005012056226844762,0.012587960635223848,0.005293609413363802
4689.0,24.0,0.005722602821582878,0.014783254532328547,0.017026850340025514,4.0,0.00041583969524316977,0.005012056226844762,0.012585286255006527,0.005292483084937107
4690.0,24.0,0.005722602821582878,0.014783254532328547,0.017023370057557736,4.0,0.00041583969524316977,0.005012056226844762,0.012582613010910196,0.005291357235708308
4691.0,24.0,0.005722602821582878,0.014783254532328547,0.017019891105825222,4.0,0.00041583969524316977,0.005012056226844762,0.012579940902211026,0.00529023186537165
4692.0,24.0,0.005722602821582878,0.014783254532328547,0.017016413268460418,4.0,0.00041583969524316977,0.005012056226844762,0.012577269928185844,0.005289106973621653
