n,k,risk,U,CG23,gain1,gain2
1.100000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,6.041085971752389178e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.110000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.303044030211706616e-01,5.988315618949057589e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.120000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.936458972837838077e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.130000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.885492512262193582e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.140000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.835393516313188561e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.150000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.786140030592754752e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.160000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.737710835168400442e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.170000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.690085414122247193e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.180000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.643243926602325294e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.190000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.597167179289724154e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.200000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.551836600202696842e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.210000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.507234213761264680e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.220000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.463342617043501909e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.230000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.420144957166327798e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.240000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.377624909730386454e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.250000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.335766658269562590e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.260000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.294554874652867421e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.270000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.253974700385766194e-02,1.838531109499405292e-01,1.013203147745789928e-01
