n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box
7.696000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.034043482979307531e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.697000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033914341463405308e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.698000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033785239313356717e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.699000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033656167067061211e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.700000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033527120025938724e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.701000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033398112307898874e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.702000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033269143893455165e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.703000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033140195907676813e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.704000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.033011282516783751e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.705000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032882408386826510e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.706000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032753568761973252e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.707000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032624749593513518e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.708000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032495969643370225e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.709000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032367228892123144e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.710000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032238513192093414e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.711000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.032109827317285143e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.712000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031981180598846685e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.713000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031852572967111199e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.714000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031723981063286701e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.715000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031595428273374658e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.716000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031466914578030823e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.717000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031338430536639199e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.718000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031209971571145183e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.719000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.031081551657845284e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.720000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.030953170777436888e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.721000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.030824810148099971e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
