n,k,risk,U_anytime,U_per_time,L1,L2
2.370000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,9.020185419210134670e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.380000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.987463621130335756e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.390000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.955002109033284585e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.400000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.922797671749747861e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.410000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.890847151808616011e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.420000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.859147444304220353e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.430000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.827695495793112801e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.440000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.796488303217374349e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.450000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.765522912856990589e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.460000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.734796419306760373e-02,1.658906822103888845e-01,1.470373061124380099e-01
2.470000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,6.767339651962583913e-02,8.704305964479817914e-02,1.658906822103888845e-01,1.470373061124380099e-01
